DateTime,Date,Time,Hour,Minute,DayOfWeek,DayOfMonth,BarInSession,Open,High,Low,Close,Volume,BarDirection,BodySize,UpperWick,LowerWick,BarRange,VWAP,VWAP_SD1_Upper,VWAP_SD1_Lower,VWAP_SD2_Upper,VWAP_SD2_Lower,VWAP_SD3_Upper,VWAP_SD3_Lower,VWAP_ZScore,CumDelta_Close,CumDelta_High,CumDelta_Low,ATR_14,ATR_5,ADX_14,RSI_14,EMA_9,EMA_21,SMA_50,SMA_200,SessionHigh,SessionLow,SessionOpen,SessionRange,SessionPosition,DistFromHigh,DistFromLow,ConsecUpBars,ConsecDownBars,IsNewSession,AsiaHigh,AsiaLow,AsiaRange,AsiaClose,LondonHigh,LondonLow,LondonRange,LondonClose,OR_High,OR_Low,OR_Complete,OR_Direction,PrevDayHigh,PrevDayLow,PrevDayClose,GapFromPrevClose,Close_5m,Close_15m,Close_60m,Close_Daily,High_5m,IsEndOfMonth,IsQuarterEnd,DailyVolume
2006-01-05 11:49:00,2006-01-05,11:49,11,49,4,5,22,4799.50,4800.50,4799.00,4800.50,513,1,1.00,0.00,0.50,1.50,4801.31,4802.65,4799.96,4803.99,4798.62,4805.34,4797.27,-0.6001,0,0,0,0.99,1.25,38.45,38.20,4800.88,4801.71,4802.89,4800.41,4804.00,0.00,0.00,4804.00,0.9993,3.50,4800.50,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.50,4801.50,4804.00,0.00,4802.50,0,0,8987
2006-01-05 11:50:00,2006-01-05,11:50,11,50,4,5,23,4800.50,4801.00,4800.00,4801.00,207,1,0.50,0.00,0.50,1.00,4801.29,4802.62,4799.96,4803.96,4798.63,4805.29,4797.30,-0.2193,0,0,0,0.99,1.20,39.49,42.89,4800.91,4801.65,4802.83,4800.44,4804.00,0.00,0.00,4804.00,0.9994,3.00,4801.00,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.00,4801.50,4804.00,0.00,4801.50,0,0,9194
2006-01-05 11:51:00,2006-01-05,11:51,11,51,4,5,24,4801.00,4801.00,4800.00,4800.00,225,-1,1.00,0.00,0.00,1.00,4801.27,4802.59,4799.94,4803.92,4798.62,4805.24,4797.30,-0.9584,0,0,0,0.99,1.16,40.45,36.86,4800.72,4801.50,4802.76,4800.47,4804.00,0.00,0.00,4804.00,0.9992,4.00,4800.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.00,4801.50,4804.00,0.00,4801.50,0,0,9419
2006-01-05 11:52:00,2006-01-05,11:52,11,52,4,5,25,4799.50,4800.00,4799.50,4800.00,66,1,0.50,0.00,0.00,0.50,4801.26,4802.58,4799.93,4803.91,4798.61,4805.23,4797.28,-0.9503,0,0,0,0.95,1.03,41.64,36.86,4800.58,4801.36,4802.68,4800.50,4804.00,0.00,0.00,4804.00,0.9992,4.00,4800.00,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.00,4801.50,4804.00,0.00,4801.50,0,0,9485
2006-01-05 11:53:00,2006-01-05,11:53,11,53,4,5,26,4800.00,4800.50,4800.00,4800.50,72,1,0.50,0.00,0.00,0.50,4801.25,4802.57,4799.93,4803.90,4798.61,4805.22,4797.28,-0.5688,0,0,0,0.92,0.92,41.79,41.62,4800.56,4801.28,4802.60,4800.52,4804.00,0.00,0.00,4804.00,0.9993,3.50,4800.50,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.00,4801.50,4804.00,0.00,4801.50,0,0,9557
2006-01-05 11:54:00,2006-01-05,11:54,11,54,4,5,27,4800.50,4801.00,4800.00,4800.50,213,0,0.00,0.50,0.50,1.00,4801.24,4802.55,4799.92,4803.86,4798.61,4805.17,4797.30,-0.5606,0,0,0,0.93,0.94,41.07,41.62,4800.55,4801.21,4802.55,4800.54,4804.00,0.00,0.00,4804.00,0.9993,3.50,4800.50,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.00,4801.50,4804.00,0.00,4801.50,0,0,9770
2006-01-05 11:55:00,2006-01-05,11:55,11,55,4,5,28,4800.50,4801.00,4800.00,4800.50,69,0,0.00,0.50,0.50,1.00,4801.23,4802.54,4799.92,4803.85,4798.61,4805.16,4797.30,-0.5580,0,0,0,0.93,0.95,40.40,41.62,4800.54,4801.15,4802.48,4800.56,4804.00,0.00,0.00,4804.00,0.9993,3.50,4800.50,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4800.50,4801.50,4804.00,0.00,4801.00,0,0,9839
2006-01-05 11:56:00,2006-01-05,11:56,11,56,4,5,29,4800.00,4800.50,4800.00,4800.50,43,1,0.50,0.00,0.00,0.50,4801.23,4802.53,4799.92,4803.84,4798.61,4805.15,4797.30,-0.5557,0,0,0,0.90,0.86,39.78,41.62,4800.53,4801.09,4802.41,4800.57,4804.00,0.00,0.00,4804.00,0.9993,3.50,4800.50,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4800.50,4801.50,4804.00,0.00,4801.00,0,0,9882
2006-01-05 11:57:00,2006-01-05,11:57,11,57,4,5,30,4800.00,4800.50,4800.00,4800.00,98,0,0.00,0.50,0.00,0.50,4801.22,4802.52,4799.91,4803.83,4798.60,4805.13,4797.30,-0.9316,0,0,0,0.87,0.79,39.20,37.79,4800.43,4800.99,4802.34,4800.58,4804.00,0.00,0.00,4804.00,0.9992,4.00,4800.00,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4800.50,4801.50,4804.00,0.00,4801.00,0,0,9980
2006-01-05 11:58:00,2006-01-05,11:58,11,58,4,5,31,4800.00,4800.00,4799.00,4799.00,544,-1,1.00,0.00,0.00,1.00,4801.12,4802.46,4799.78,4803.80,4798.44,4805.13,4797.10,-1.5836,0,0,0,0.88,0.83,39.57,31.54,4800.14,4800.81,4802.25,4800.59,4804.00,0.00,0.00,4804.00,0.9990,5.00,4799.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4800.50,4801.50,4804.00,0.00,4801.00,0,0,10524
